Sample,Group,AMR Gene Family,Drug Class,RPKM
368259600,Multi-drug resistance,multidrug and toxic compound extrusion (MATE) transporter,fluoroquinolone antibiotic; disinfecting agents and antiseptics,1.548298
368259600,aminoglycoside antibiotic,ANT(2''),aminoglycoside antibiotic,1.562216
368259600,rifamycin antibiotic,RbpA bacterial RNA polymerase-binding protein,rifamycin antibiotic,12.09019
368259600,aminoglycoside antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic,0.535789
368259600,Multi-drug resistance,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,1.616712
368259600,penam,CARB beta-lactamase,penam,0.962195
368259600,tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,0.302255
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem,3.000803
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics,0.374763
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; cephamycin; penam,0.537342
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; cephamycin; penam,0.7204
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; cephalosporin; cephamycin; penam,2.090785
368259600,aminoglycoside antibiotic,ANT(3''),aminoglycoside antibiotic,2.106624
368259600,Multi-drug resistance,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,3.350294
368259600,Multi-drug resistance,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic; disinfecting agents and antiseptics,1.791716
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,2.397193
368259600,peptide antibiotic,pmr phosphoethanolamine transferase,peptide antibiotic,0.838837
368259600,aminoglycoside antibiotic,AAC(6'),aminoglycoside antibiotic,0.751552
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem,3.440096
368259600,macrolide antibiotic,ATP-binding cassette (ABC) antibiotic efflux pump,macrolide antibiotic,1.061353
368259600,aminoglycoside antibiotic,ANT(3''),aminoglycoside antibiotic,1.069517
368259600,Multi-drug resistance,OXA beta-lactamase,carbapenem; cephalosporin; penam,1.003879
368259600,aminoglycoside antibiotic,ANT(3''),aminoglycoside antibiotic,2.958238
368259600,Multi-drug resistance,OXA beta-lactamase,carbapenem; cephalosporin; penam,0.50559
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,2.788712
368259600,tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,1.303474
368259600,aminoglycoside antibiotic,APH(3''),aminoglycoside antibiotic,33.20291
368259600,fluoroquinolone antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,1.355138
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,1.4408
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem,14.47474
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; cephalosporin; cephamycin; penam,5.164239
368259600,diaminopyrimidine antibiotic,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,0.879982
368259600,aminoglycoside antibiotic,ANT(3''),aminoglycoside antibiotic,36.97798
368259600,aminoglycoside antibiotic,ANT(3''),aminoglycoside antibiotic,1.053312
368259600,Multi-drug resistance,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,0.813083
368259600,macrolide antibiotic,macrolide phosphotransferase (MPH),macrolide antibiotic,7.415317
368259600,fluoroquinolone antibiotic,ATP-binding cassette (ABC) antibiotic efflux pump,fluoroquinolone antibiotic,2.59662
368259600,aminoglycoside antibiotic,AAC(6'),aminoglycoside antibiotic,5.306763
368259600,peptide antibiotic,pmr phosphoethanolamine transferase,peptide antibiotic,0.860911
368259600,disinfecting agents and antiseptics,resistance-nodulation-cell division (RND) antibiotic efflux pump,disinfecting agents and antiseptics,18.99887
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; carbapenem; tetracycline antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,3.42976
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics,5.667277
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics,28.18688
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,21.28538
368259600,fusidane antibiotic,Target protecting FusB-type protein conferring resistance to Fusidic acid,fusidane antibiotic,1.299413
368259600,macrolide antibiotic,macrolide phosphotransferase (MPH),macrolide antibiotic,0.471313
368259600,macrolide antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,0.681555
368259600,aminoglycoside antibiotic,kdpDE,aminoglycoside antibiotic,1.845626
368259600,Multi-drug resistance,major facilitator superfamily (MFS) antibiotic efflux pump,penam; tetracycline antibiotic,5.410008
368259600,aminoglycoside antibiotic,ANT(4'),aminoglycoside antibiotic,7.116077
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,1.06406
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,1.719775
368259600,nitroimidazole antibiotic,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,2.146372
368259600,phenicol antibiotic,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,3.218454
368259600,phenicol antibiotic,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,0.658944
368259600,aminoglycoside antibiotic,ANT(6),aminoglycoside antibiotic,1.448304
368259600,aminoglycoside antibiotic,ANT(3''),aminoglycoside antibiotic,2.114634
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,8.140351
368259600,phosphonic acid antibiotic,fosfomycin thiol transferase,phosphonic acid antibiotic,1.986246
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem,39.37337
368259600,phenicol antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol antibiotic,0.686603
368259600,aminoglycoside antibiotic,small multidrug resistance (SMR) antibiotic efflux pump,aminoglycoside antibiotic,5.010349
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,0.696928
368259600,peptide antibiotic,pmr phosphoethanolamine transferase,peptide antibiotic,0.581746
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,33.61483
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics,4.005187
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,15.44858
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,5.89936
368259600,penam,ARL Beta-lactamase,penam,0.491298
368259600,Multi-drug resistance,multidrug and toxic compound extrusion (MATE) transporter,fluoroquinolone antibiotic; aminoglycoside antibiotic; disinfecting agents and antiseptics,2.03611
368259600,aminoglycoside antibiotic,ANT(3''),aminoglycoside antibiotic,6.436907
368259600,fluoroquinolone antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,3.801798
368259600,penam,ARL Beta-lactamase,penam,6.386868
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin,2.791378
368259600,rifamycin antibiotic,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,38.01705
368259600,sulfonamide antibiotic,sulfonamide resistant sul,sulfonamide antibiotic,2.41384
368259600,Multi-drug resistance,OXA beta-lactamase,carbapenem; cephalosporin; penam,0.522696
368259600,Multi-drug resistance,OXA beta-lactamase,carbapenem; cephalosporin; penam,1.568089
368259600,phenicol antibiotic,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,1.305514
368259600,penam,ARL Beta-lactamase,penam,1.96519
368259600,Multi-drug resistance,OXA beta-lactamase,carbapenem; cephalosporin; penam,1.003879
368259600,Multi-drug resistance,General Bacterial Porin with reduced permeability to beta-lactams,monobactam; carbapenem; cephalosporin; cephamycin; penam; penem,1.853829
368259600,Multi-drug resistance,OXA beta-lactamase,carbapenem; cephalosporin; penam,1.01118
368259600,macrolide antibiotic,macrolide phosphotransferase (MPH),macrolide antibiotic,3.7705
368259600,macrolide antibiotic,macrolide phosphotransferase (MPH),macrolide antibiotic,0.468139
368259600,peptide antibiotic,intrinsic colistin resistant phosphoethanolamine transferase,peptide antibiotic,2.984698
368259600,fluoroquinolone antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,0.639251
368259600,Multi-drug resistance,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic; disinfecting agents and antiseptics,1.692136
368259600,Multi-drug resistance,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem,1.777969
368259600,disinfecting agents and antiseptics,major facilitator superfamily (MFS) antibiotic efflux pump,disinfecting agents and antiseptics,11.98597
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; oxazolidinone antibiotic; glycopeptide antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,1.230418
368259600,phenicol antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol antibiotic,0.686603
368259600,peptide antibiotic,General Bacterial Porin with reduced permeability to peptide antibiotics,peptide antibiotic,4.078424
368259600,peptide antibiotic,Intrinsic peptide antibiotic resistant Lps,peptide antibiotic,1.515392
368259600,peptide antibiotic,pmr phosphoethanolamine transferase,peptide antibiotic,1.763153
368259600,Multi-drug resistance,ATP-binding cassette (ABC) antibiotic efflux pump,peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic,0.710279
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,4.485071
368259600,aminoglycoside antibiotic,ATP-binding cassette (ABC) antibiotic efflux pump,aminoglycoside antibiotic,0.547391
368259600,aminoglycoside antibiotic,ATP-binding cassette (ABC) antibiotic efflux pump,aminoglycoside antibiotic,0.536823
368259600,Multi-drug resistance,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic; aminoglycoside antibiotic; oxazolidinone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,0.578117
368259600,carbapenem,AXC beta-lactamase,carbapenem,1.860029
368259600,penam,CARB beta-lactamase,penam,1.92439
368259600,Multi-drug resistance,MOX beta-lactamase,cephalosporin; cephamycin; penam,0.724152
368259600,Multi-drug resistance,MOX beta-lactamase,cephalosporin; cephamycin; penam,1.086228
368259600,Multi-drug resistance,OXA beta-lactamase,carbapenem; cephalosporin; penam,1.511274
368259600,Multi-drug resistance,OXA beta-lactamase,carbapenem; cephalosporin; penam,0.50559
368259600,Multi-drug resistance,PER beta-lactamase,monobactam; carbapenem; cephalosporin; penam; penem,0.899917
368259600,carbapenem,PST beta-lactamase,carbapenem,1.144339
368259600,carbapenem,RSA2 beta-lactamase,carbapenem,1.341195
368259600,Multi-drug resistance,VIM beta-lactamase,carbapenem; cephalosporin; cephamycin; penam; penem,1.041477
368259600,Multi-drug resistance,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic; disinfecting agents and antiseptics,1.201185
368259600,disinfecting agents and antiseptics,small multidrug resistance (SMR) antibiotic efflux pump,disinfecting agents and antiseptics,6.436907
368259600,penam,R39 beta-lactamase,penam,1.367579
368259600,Multi-drug resistance,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics,0.560634
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics,2.799407
368259600,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics,4.45459
368259600,mupirocin-like antibiotic,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),mupirocin-like antibiotic,11.04267
368259600,mupirocin-like antibiotic,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),mupirocin-like antibiotic,2.170337
368259600,peptide antibiotic,ATP-binding cassette (ABC) antibiotic efflux pump,peptide antibiotic,0.507435
368259600,rifamycin antibiotic,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,49.89877
368259600,glycopeptide antibiotic,glycopeptide resistance gene cluster; vanR,glycopeptide antibiotic,5.347584
368259600,Multi-drug resistance,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic,2.106624
368259600,Multi-drug resistance,PRC beta-lactamase,cephalosporin; penam,2.927099
368259600,tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,0.868982
368259600,tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,1.303474
368259600,tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,1.086228
368259600,aminoglycoside antibiotic,aminoglycoside bifunctional resistance protein,aminoglycoside antibiotic,0.289661
368259600,rifamycin antibiotic,helicase-like RNA polymerase protection protein,rifamycin antibiotic,2.499977
368259600,Multi-drug resistance,PJM beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,0.920776
368259600,Multi-drug resistance,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,0.441388
368259600,aminoglycoside antibiotic,aminoglycoside bifunctional resistance protein,aminoglycoside antibiotic,1.498246
368259989,Multi-drug resistance,OXA beta-lactamase,carbapenem; cephalosporin; penam,0.747437
368259989,lincosamide antibiotic,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,4.440794
368259989,Multi-drug resistance,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic,2.819981
368259989,phosphonic acid antibiotic,fosfomycin thiol transferase,phosphonic acid antibiotic,2.171253
368259989,Multi-drug resistance,MOX beta-lactamase,cephalosporin; cephamycin; penam,0.133819
368259989,Multi-drug resistance,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,15.93513
368259989,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,0.186859
368259989,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,0.693072
368259989,rifamycin antibiotic,rifampin glycosyltransferase,rifamycin antibiotic,0.62362
368259989,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; aminocoumarin antibiotic,2.01955
368259989,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; tetracycline antibiotic,0.969553
368259989,Multi-drug resistance,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; penam; tetracycline antibiotic; peptide antibiotic; disinfecting agents and antiseptics,2.430434
368259989,Multi-drug resistance,vga-type ABC-F protein,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic,0.196506
368259989,tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,0.119782
368259989,Multi-drug resistance,fosfomycin thiol transferase,fluoroquinolone antibiotic; aminoglycoside antibiotic; phosphonic acid antibiotic,0.367045
368259989,Multi-drug resistance,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic; disinfecting agents and antiseptics,1.364239
368259989,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,glycylcycline; tetracycline antibiotic,0.567805
368259989,Multi-drug resistance,OXA beta-lactamase,carbapenem; cephalosporin; penam,0.186182
368259989,Multi-drug resistance,OKP beta-lactamase,cephalosporin; penam,0.358093
368259989,Multi-drug resistance,VIM beta-lactamase,carbapenem; cephalosporin; cephamycin; penam; penem,0.577374
368259989,cephamycin,CfxA beta-lactamase,cephamycin,1.083447
368259989,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic,1.691196
368259989,aminoglycoside antibiotic,APH(3'),aminoglycoside antibiotic,4.723008
368259989,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,3.367814
368259989,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,2.239917
368259989,Multi-drug resistance,OXA beta-lactamase,carbapenem; cephalosporin; penam,0.18551
368259989,fluoroquinolone antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,1.39691
368259989,fluoroquinolone antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,0.637547
368259989,aminocoumarin antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,1.605823
368259989,diaminopyrimidine antibiotic,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,1.857337
368259989,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; penam,0.548999
368259989,aminoglycoside antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic,1.673501
368259989,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem,3.211645
368259989,tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,0.511307
368259989,macrolide antibiotic,ATP-binding cassette (ABC) antibiotic efflux pump,macrolide antibiotic,4.859792
368259989,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics,1.579498
368259989,tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,1.525532
368259989,Multi-drug resistance,OXA beta-lactamase,carbapenem; cephalosporin; penam,0.365739
368259989,tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,0.200337
368259989,fluoroquinolone antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,0.199559
368259989,Multi-drug resistance,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic,0.293636
368259989,Multi-drug resistance,vga-type ABC-F protein,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic,0.393012
368259989,phosphonic acid antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,phosphonic acid antibiotic,0.628195
368259989,tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,0.291968
368259989,Multi-drug resistance,NDM beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,0.189617
368259989,Multi-drug resistance,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,0.577374
368259989,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem,2.135031
368259989,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic,1.430454
368259989,penam,methicillin resistant PBP2,penam,0.35076
368259989,peptide antibiotic,pmr phosphoethanolamine transferase,peptide antibiotic,0.468853
368259989,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,1.395104
368259989,penam,BlaZ beta-lactamase,penam,1.82221
368259989,tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,0.157385
368259989,Multi-drug resistance,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,88.44894
368259989,lincosamide antibiotic,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,0.38348
368259989,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,1.589268
368259989,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,2.569316
368259989,aminocoumarin antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,1.579599
368259989,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,glycylcycline; tetracycline antibiotic,0.793611
368259989,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,3.409519
368259989,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic,5.281784
368259989,Multi-drug resistance,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,0.41948
368259989,Multi-drug resistance,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,5.831072
368259989,aminoglycoside antibiotic,AAC(3),aminoglycoside antibiotic,0.380639
368259989,Multi-drug resistance,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,18.21059
368259989,sulfonamide antibiotic,sulfonamide resistant sul,sulfonamide antibiotic,5.85653
368259989,aminoglycoside antibiotic,APH(3'),aminoglycoside antibiotic,0.764109
368259989,tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,0.258873
368259989,tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,0.262175
368259989,penam,RCP beta-lactamase,penam,1.223484
368259989,Multi-drug resistance,CGB beta-lactamase,carbapenem; cephalosporin; penam,0.211466
368259989,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; aminocoumarin antibiotic,0.439199
368259989,Multi-drug resistance,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,0.41948
368259989,aminoglycoside antibiotic,APH(6),aminoglycoside antibiotic,17.68132
368259989,phenicol antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol antibiotic,0.85238
368259989,sulfonamide antibiotic,sulfonamide resistant sul,sulfonamide antibiotic,11.92897
368259989,Multi-drug resistance,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,1.761817
