COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Reference	p_Chennai	N_Reference	N_Chennai
Lipase chaperone LimK (LimK)	6.0390176143981975	0.013993068695466966	0.11393036459312594	Reference	COG5380	GC_00003154	1	0.7273	20	11
Argininosuccinate lyase (ArgH) (PDB:1AOS)	6.0390176143981975	0.013993068695466966	0.11393036459312594	Reference	COG0165	GC_00003087, GC_00004091	1	0.7273	20	11
Na+/melibiose symporter or related transporter (MelB) (PDB:4M64)	6.0390176143981975	0.013993068695466966	0.11393036459312594	Reference	COG2211	GC_00002670	1	0.7273	20	11
ssDNA-specific exonuclease RecJ, DHH superfamily, may be involved in archaeal DNA replication intiation (RecJ) (PDB:1IR6)	6.0390176143981975	0.013993068695466966	0.11393036459312594	Reference	COG0608	GC_00003109	1	0.7273	20	11
Outer membrane cobalamin receptor protein BtuB (BtuB) (PDB:1NQE)	6.0390176143981975	0.013993068695466966	0.11393036459312594	Reference	COG4206	GC_00003295, GC_00003713, GC_00004371, GC_00005551	1	0.7273	20	11
ABC-type uncharacterized transport system, ATPase component (PUBMED:10686096)	6.0390176143981975	0.013993068695466966	0.11393036459312594	Reference	COG4674	GC_00000084	1	0.7273	20	11
Flagellar biosynthesis protein FlhA (FlhA) (PDB:6AI0)	6.0390176143981975	0.013993068695466966	0.11393036459312594	Reference	COG1298	GC_00003059, GC_00003997	1	0.7273	20	11
RecA/RadA recombinase (RecA) (PDB:1B22)	6.0390176143981975	0.013993068695466966	0.11393036459312594	Reference	COG0468	GC_00003049	1	0.7273	20	11
Scaffold subunit RecC of the DNA repair enzyme RecBCD (exonuclease V) (RecC) (PDB:1W36) (PUBMED:30601118)	6.0390176143981975	0.013993068695466966	0.11393036459312594	Reference	COG1330	GC_00003176, GC_00004183	1	0.7273	20	11
K+-sensing histidine kinase KdpD (KdpD) (PDB:2KSF)!!!Response regulator c-di-GMP phosphodiesterase, RpfG family, contains REC and HD-GYP domains (RpfG)	6.0390176143981975	0.013993068695466966	0.11393036459312594	Reference	COG2205!!!COG3437	GC_00003057	1	0.7273	20	11
Uncharacterized conserved protein, DUF4415 family	6.0390176143981895	0.013993068695467029	0.11393036459312594	Chennai	COG3514	GC_00005036, GC_00005850	0	0.2727	20	11
Uncharacterized conserved protein, DUF497 family (PDB:3U97)	6.0390176143981895	0.013993068695467029	0.11393036459312594	Chennai	COG2929	GC_00004803, GC_00005623	0	0.2727	20	11
Uncharacterized pentameric protein YbjQ, UPF0145 family (YbjQ) (PDB:1VR4) (PUBMED:23935051)	5.93074070992699	0.014878986456634038	0.11506727143735478	Reference	COG0393	GC_00003971	0.4	0	20	11
Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase (Acs) (PDB:4B2O) (PUBMED:14638756)!!!3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratase (FabA) (PDB:1MKA)	5.93074070992699	0.014878986456634038	0.11506727143735478	Reference	COG0365!!!COG0764	GC_00004044	0.4	0	20	11
Predicted 3-hydroxylacyl-ACP dehydratase, HotDog domain	5.93074070992699	0.014878986456634038	0.11506727143735478	Reference	COG4706	GC_00003975	0.4	0	20	11
Predicted dehydrogenase (MviM) (PDB:3UUW)	5.93074070992699	0.014878986456634038	0.11506727143735478	Reference	COG0673	GC_00004696, GC_00004697, GC_00005425, GC_00006872	0.4	0	20	11
Predicted acyltransferase, LPLAT superfamily	5.93074070992699	0.014878986456634038	0.11506727143735478	Reference	COG4261	GC_00004042	0.4	0	20	11
Conjugal transfer/entry exclusion protein	5.93074070992699	0.014878986456634038	0.11506727143735478	Reference	COG5314	GC_00003891, GC_00007686	0.4	0	20	11
Predicted nucleotidyltransferase component of viral defense system (PDB:4O8S)	5.93074070992699	0.014878986456634038	0.11506727143735478	Reference	COG2253	GC_00004104, GC_00005200	0.4	0	20	11
Membrane protein TolA involved in colicin uptake (TolA) (PDB:1S62)	5.93074070992699	0.014878986456634038	0.11506727143735478	Reference	COG3064	GC_00004258, GC_00004889, GC_00005534, GC_00006015, GC_00007280	0.4	0	20	11
DNA-binding winged helix-turn-helix (wHTH) domain (CadC1)!!!Outer membrane protein chaperone/metalloprotease BepA/YfgC, contains M48 and TPR domains (BepA) (PDB:6AIT) (PUBMED:24003122)!!!TolB amino-terminal domain (function unknown) (TolBN) (PDB:1C5K) (PUBMED:10673426;24821816)	5.93074070992699	0.014878986456634038	0.11506727143735478	Reference	COG3710!!!COG4783!!!COG5616	GC_00004032	0.4	0	20	11
Predicted ATPase, AAA+ superfamily	5.93074070992699	0.014878986456634038	0.11506727143735478	Reference	COG1223	GC_00004577, GC_00004583, GC_00004931, GC_00005075, GC_00006454, GC_00007093	0.4	0	20	11
Type IV secretory pathway, TrbL components (TrbL)	5.93074070992699	0.014878986456634038	0.11506727143735478	Reference	COG3846	GC_00003892, GC_00006388	0.4	0	20	11
PAS domain (PAS) (PDB:2MWG)!!!Signal transduction histidine kinase ComP (ComP) (PDB:4GT8)	5.93074070992699	0.014878986456634038	0.11506727143735478	Reference	COG2202!!!COG4585	GC_00004065	0.4	0	20	11
Superfamily II DNA or RNA helicase (SSL2) (PDB:6JDE)	5.93074070992699	0.014878986456634038	0.11506727143735478	Reference	COG1061	GC_00004177, GC_00005029, GC_00006161, GC_00006952, GC_00007563, GC_00007575	0.4	0	20	11
Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid) (WcaJ) (PDB:5W7L)	5.93074070992699	0.014878986456634038	0.11506727143735478	Reference	COG2148	GC_00004054	0.4	0	20	11
Histidine ammonia-lyase (HutH) (PDB:1B8F)	5.93074070992699	0.014878986456634038	0.11506727143735478	Reference	COG2986	GC_00004060	0.4	0	20	11
Predicted exporter	5.93074070992699	0.014878986456634038	0.11506727143735478	Reference	COG4258	GC_00004063	0.4	0	20	11
Transposase and inactivated derivatives, IS5 family (IS5)	5.902809963868928	0.015116749114739522	0.11654068770644502	Reference	COG3039	GC_00000005, GC_00003685, GC_00003743, GC_00004219, GC_00004406, GC_00004452, GC_00004712, GC_00007711	0.8	0.3636	20	11
Transposase (or an inactivated derivative) (IS285)	5.386572978988062	0.020292286112313613	0.15595348859525757	Chennai	COG3328	GC_00004124, GC_00004239, GC_00004596, GC_00004648	0.15	0.5455	20	11
Serine/threonine protein kinase HipA, toxin component of the HipAB toxin-antitoxin module (HipA) (PDB:2WIU)	5.188018541608451	0.02274313260661406	0.17210830717949965	Reference	COG3550	GC_00004110, GC_00004249, GC_00004442, GC_00004739, GC_00006199, GC_00007084	0.5	0.0909	20	11
Predicted component of the type VI protein secretion system (PDB:3RX9)	5.188018541608451	0.02274313260661406	0.17210830717949965	Reference	COG3521	GC_00003824	0.5	0.0909	20	11
Predicted component of the type VI protein secretion system (PDB:5M2Y)	5.188018541608451	0.02274313260661406	0.17210830717949965	Reference	COG3522	GC_00003828	0.5	0.0909	20	11
Type VI protein secretion system component TssL/VasF/DotU (DotU) (PDB:3U66) (PUBMED:25471186)	5.188018541608451	0.02274313260661406	0.17210830717949965	Reference	COG3455	GC_00003825	0.5	0.0909	20	11
Type I site-specific restriction endonuclease, part of a restriction-modification system (HsdR) (PDB:3H1T) (PUBMED:21169490)	5.188018541608451	0.02274313260661406	0.17210830717949965	Reference	COG4096	GC_00003939, GC_00004121, GC_00005926	0.5	0.0909	20	11
Kef-type K+ transport system, membrane component KefB (KefB) (PDB:4BWZ)!!!Voltage-gated potassium channel Kch (Kch) (PDB:3FWZ)	5.0111535534907095	0.025184520355058325	0.18900827537473286	Reference	COG0475!!!COG1226	GC_00003723, GC_00004608	0.6	0.1818	20	11
Transposase InsO and inactivated derivatives (Tra5)	4.97323120089609	0.025742513387073424	0.18900827537473286	Chennai	COG2801	GC_00000058, GC_00000082, GC_00003647, GC_00003684, GC_00003741, GC_00004149, GC_00004451, GC_00004756, GC_00004770, GC_00005222, GC_00005316, GC_00005383, GC_00006021, GC_00006447, GC_00007067, GC_00007266, GC_00007417	0.65	1	20	11
ATP-dependent helicase YprA,  contains C-terminal metal-binding DUF1998 domain (YprA)	4.973231200896086	0.02574251338707347	0.18900827537473286	Reference	COG1205	GC_00004524, GC_00005215, GC_00005801, GC_00006202, GC_00006299, GC_00006419	0.35	0	20	11
Type IV secretory pathway, protease TraF (TraF) (PDB:1B12)	4.973231200896086	0.02574251338707347	0.18900827537473286	Reference	COG4959	GC_00004641, GC_00004647, GC_00005233, GC_00007223	0.35	0	20	11
Signal transduction histidine kinase (BaeS) (PDB:1JOY)!!!CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)!!!Purine-cytosine permease or related protein (CodB)	4.973231200896086	0.02574251338707347	0.18900827537473286	Reference	COG0642!!!COG0784!!!COG1457	GC_00004115	0.35	0	20	11
CMP-N-acetylneuraminic acid synthetase, NeuA/PseF family (NeuA) (PDB:1EYR)	4.973231200896086	0.02574251338707347	0.18900827537473286	Reference	COG1083	GC_00004199, GC_00007099	0.35	0	20	11
Peptidoglycan-binding (PGRP) domain of peptidoglycan hydrolases (PGRP) (PDB:4FET)	4.973231200896086	0.02574251338707347	0.18900827537473286	Reference	COG3409	GC_00004118, GC_00005262	0.35	0	20	11
Acetamidase/formamidase (FmdA) (PDB:2F4L)	4.973231200896086	0.02574251338707347	0.18900827537473286	Reference	COG2421	GC_00004074	0.35	0	20	11
Tellurite resistance protein TerB (TerB2) (PDB:2JXU) (PUBMED:23044854)	4.973231200896086	0.02574251338707347	0.18900827537473286	Reference	COG4103	GC_00004079	0.35	0	20	11
Uncharacterized conserved protein YccT, UPF0319 family (YccT)	4.973231200896086	0.02574251338707347	0.18900827537473286	Reference	COG3110	GC_00004082	0.35	0	20	11
Site-specific DNA recombinase SpoIVCA/DNA invertase PinE (SpoIVCA) (PDB:1GDT)	4.465278514372871	0.034590450082853184	0.2449699398439632	Reference	COG1961	GC_00003799, GC_00004260, GC_00004346, GC_00004372, GC_00004484, GC_00004670, GC_00004722, GC_00005667, GC_00005989, GC_00006485, GC_00006597, GC_00007040, GC_00007528	0.75	0.3636	20	11
Predicted restriction endonuclease	4.1876863496709	0.040718632050497444	0.2449699398439632	Reference	COG3440	GC_00004019, GC_00005783, GC_00006787, GC_00007465	0.45	0.0909	20	11
Type VI protein secretion system component VasA (VasA)	4.1876863496709	0.040718632050497444	0.2449699398439632	Reference	COG3519	GC_00003882	0.45	0.0909	20	11
Beta-phosphoglucomutase, HAD superfamily (YcjU) (PDB:3E58) (PUBMED:29684280)	4.092278796576955	0.04307952368743368	0.2449699398439632	Reference	COG0637	GC_00004163	0.3	0	20	11
Antirestriction protein ArdA (ArdA) (PDB:2W82)	4.092278796576955	0.04307952368743368	0.2449699398439632	Reference	COG4734	GC_00004134	0.3	0	20	11
Type IV secretory pathway, VirB9 components (VirB9)	4.092278796576955	0.04307952368743368	0.2449699398439632	Reference	COG3504	GC_00003943	0.3	0	20	11
Phage-related protein, predicted endonuclease	4.092278796576955	0.04307952368743368	0.2449699398439632	Reference	COG5377	GC_00004414, GC_00006883, GC_00007173	0.3	0	20	11
O-antigen ligase (RfaL)	4.092278796576955	0.04307952368743368	0.2449699398439632	Reference	COG3307	GC_00005232, GC_00005355, GC_00005537, GC_00005693	0.3	0	20	11
3'-5' exonuclease KapD, inhibitor of KinA-controlled sporulation (KapD)	4.092278796576955	0.04307952368743368	0.2449699398439632	Reference	COG5018	GC_00004147	0.3	0	20	11
Uncharacterized conserved protein, contains a C-terminal ATPase domain	4.092278796576955	0.04307952368743368	0.2449699398439632	Reference	COG4913	GC_00004593, GC_00005011, GC_00006332	0.3	0	20	11
Sialic acid synthase SpsE, contains C-terminal SAF domain (SpsE) (PDB:1VLI)	4.092278796576955	0.04307952368743368	0.2449699398439632	Reference	COG2089	GC_00004267, GC_00006460	0.3	0	20	11
Pilus assembly protein, ATPase of CpaF family (CpaF)	4.092278796576955	0.04307952368743368	0.2449699398439632	Reference	COG4962	GC_00003944	0.3	0	20	11
DNAse/DNA nickase specific for phosphorothioated or glycosylated phage DNA, GmrSD/DndB/SspE family, contains DUF262 and HNH nuclease domains (GmrSD) (PDB:6JIV) (PUBMED:17188297;32251370)	4.092278796576955	0.04307952368743368	0.2449699398439632	Reference	COG1479	GC_00005198, GC_00005605, GC_00005967, GC_00006793, GC_00006799	0.3	0	20	11
Type IV secretory pathway, VirD2 component (relaxase) (VirD2)	4.092278796576955	0.04307952368743368	0.2449699398439632	Reference	COG3843	GC_00004058	0.3	0	20	11
Type IV secretory pathway, TrbD component (TrbD)	4.092278796576955	0.04307952368743368	0.2449699398439632	Reference	COG5268	GC_00003940	0.3	0	20	11
Type II restriction/modification system, endonuclease and methylase domains (YeeA) (PDB:5HR4)	4.092278796576955	0.04307952368743368	0.2449699398439632	Reference	COG1002	GC_00004533, GC_00004554, GC_00004934, GC_00004962, GC_00005163, GC_00006537	0.3	0	20	11
Uncharacterized protein, contains RES domain (RES)	4.092278796576955	0.04307952368743368	0.2449699398439632	Reference	COG5654	GC_00004472, GC_00004541	0.3	0	20	11
Predicted restriction endonuclease, HNH family (PDB:6GHC)	4.092278796576955	0.04307952368743368	0.2449699398439632	Reference	COG3183	GC_00004692, GC_00004877, GC_00005607, GC_00006361, GC_00007310	0.3	0	20	11
Plasmid replication initiator protein (RepA)	4.092278796576955	0.04307952368743368	0.2449699398439632	Reference	COG5534	GC_00003942	0.3	0	20	11
Type IV secretory pathway, TrbF component (TrbF)	4.092278796576955	0.04307952368743368	0.2449699398439632	Reference	COG3701	GC_00003945	0.3	0	20	11
Prophage maintenance system killer protein (Doc)!!!Uncharacterized protein RhuM, Salmonella virulence factor (RhuM)	4.092278796576955	0.04307952368743368	0.2449699398439632	Reference	COG3654!!!COG3943	GC_00004191	0.3	0	20	11
Uncharacterized conserved protein, DUF305 family (PDB:5FEJ)	4.044679737987179	0.04431078568036498	0.2449699398439632	Reference	COG3544	GC_00003672, GC_00005969, GC_00006174	0.65	0.2727	20	11
N-acetylglutamate kinase (ArgB) (PDB:3S6G)!!!N-acetylglutamate synthase or related acetyltransferase, GNAT family (ArgA) (PDB:2R98)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0548!!!COG1246	GC_00002784	1	0.8182	20	11
Ribosomal protein L16/L10AE (RplP) (PDB:1WKI)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0197	GC_00002761	1	0.8182	20	11
Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit (GatB) (PDB:3H0M)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0064	GC_00002309, GC_00006554	1	0.8182	20	11
Uncharacterized conserved protein YdbL, DUF1318 family (YdbL)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG3784	GC_00002822	1	0.8182	20	11
5'-3' exonuclease Xni/ExoIX (flap endonuclease) (ExoIX) (PDB:3ZDA) (PUBMED:19000038;23821668)!!!DNA polymerase I, 3'-5' exonuclease and polymerase domains (PolA) (PDB:1D8Y)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0258!!!COG0749	GC_00002963	1	0.8182	20	11
Anaerobic selenocysteine-containing dehydrogenase (BisC) (PDB:1EU1)!!!Bacterioferritin-associated ferredoxin (Bfd) (PDB:6E6R)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0243!!!COG2906	GC_00002996	1	0.8182	20	11
Flagellar motor switch/type III secretory pathway protein FliN (FliN) (PDB:1O9Y)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG1886	GC_00002869, GC_00003969	1	0.8182	20	11
Ubiquinone biosynthesis accessory factor UbiT, lipid carrier SCP2 domain (UbiT) (PDB:1C44) (PUBMED:31289180)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG3154	GC_00002900	1	0.8182	20	11
Methionyl-tRNA formyltransferase (Fmt) (PDB:1FMT)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0223	GC_00002990	1	0.8182	20	11
Ribosomal protein S19 (RpsS) (PDB:4V4H)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0185	GC_00002770	1	0.8182	20	11
Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrB (NqrB) (PDB:4P6V)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG1805	GC_00002830	1	0.8182	20	11
Adenosine deaminase (Add) (PDB:1A4L)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG1816	GC_00002839	1	0.8182	20	11
Sugar lactone lactonase YvrE (YvrE) (PDB:1E1A)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG3386	GC_00003145, GC_00003543, GC_00006560	1	0.8182	20	11
Na+/serine and Na+/threonine symporter SstT (SstT)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG3633	GC_00002871	1	0.8182	20	11
Type III secretion system substrate exporter, FlhB-like (YlqH)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG2257	GC_00002887	1	0.8182	20	11
Preprotein translocase subunit SecY (SecY) (PDB:1RH5)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0201	GC_00002799	1	0.8182	20	11
Uncharacterized membrane protein Smp affecting hemolysin expression (AhpA)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG3726	GC_00002906	1	0.8182	20	11
Predicted peroxiredoxin, DsrE/DsrF-like family (PDB:3MC3)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG2044	GC_00002956	1	0.8182	20	11
AIM24 protein, required for mitochondrial respiration (AIM24) (PDB:1YOX) (PUBMED:24928273;24714493)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG2013	GC_00002824	1	0.8182	20	11
Allantoicase (Alc) (PDB:1O59)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG4266	GC_00002941	1	0.8182	20	11
Aspartyl aminopeptidase (LAP4) (PDB:1Y7E)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG1362	GC_00002417	1	0.8182	20	11
tRNA 2-selenouridine synthase SelU, contains rhodanese domain (SelU)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG2603	GC_00002958	1	0.8182	20	11
Ribosomal protein S17 (RpsQ) (PDB:4V4H)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0186	GC_00002763	1	0.8182	20	11
dTDP-D-glucose 4,6-dehydratase (RfbB) (PDB:1G1A)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG1088	GC_00002581	1	0.8182	20	11
Ribosomal protein L5 (RplE) (PDB:1VS6)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0094	GC_00002768	1	0.8182	20	11
Ribosomal protein S8 (RpsH) (PDB:4V4H)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0096	GC_00002758	1	0.8182	20	11
Glycosyltransferase involved in cell wall bisynthesis (WcaA) (PDB:5MLZ)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0463	GC_00002910, GC_00003930, GC_00005010, GC_00005105, GC_00005236, GC_00005364, GC_00005571, GC_00005574, GC_00005617, GC_00005670, GC_00006707, GC_00007621, GC_00007771, GC_00007851	1	0.8182	20	11
PAS domain (PAS) (PDB:2MWG)!!!Sensor histidine kinase, LytS/YehU family (LytS)!!!Cyclic di-GMP metabolism protein, combines GGDEF and EAL domains with a 6TM membrane domain	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG2202!!!COG3275!!!COG5001	GC_00002984	1	0.8182	20	11
Cell shape-determining ATPase MreB, actin-like superfamily (MreB) (PDB:1JCE)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG1077	GC_00002766	1	0.8182	20	11
Deoxyinosine 3'-endonuclease (endonuclease V) (Nfi) (PDB:2W35)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG1515	GC_00002898	1	0.8182	20	11
Selenocysteine-specific translation elongation factor SelB (SelB) (PDB:4ZU9)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG3276	GC_00002997	1	0.8182	20	11
Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit (SdhB/FrdB) (PDB:6LUM)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0479	GC_00002807	1	0.8182	20	11
Ribosomal protein L22 (RplV) (PDB:1VS6)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0091	GC_00002773	1	0.8182	20	11
Ribosomal protein S14 (RpsN) (PDB:4V4H)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0199	GC_00002755	1	0.8182	20	11
Phosphoenolpyruvate carboxykinase, ATP-dependent (PckA) (PDB:1AQ2)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG1866	GC_00002465	1	0.8182	20	11
Type II secretory pathway, component PulL (PulL) (PDB:2W7V) (PUBMED:11679764)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG3297	GC_00002946, GC_00006487	1	0.8182	20	11
3-oxoacyl-[acyl-carrier-protein] synthase III (FabH) (PDB:1UB7)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0332	GC_00002810	1	0.8182	20	11
dCTP deaminase (Dcd) (PDB:1XS1)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0717	GC_00002764	1	0.8182	20	11
Histidinol dehydrogenase (HisD) (PDB:1K75)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0141	GC_00002886	1	0.8182	20	11
Diaminopimelate epimerase (DapF) (PDB:1BWZ)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0253	GC_00002937	1	0.8182	20	11
4-hydroxyphenylpyruvate dioxygenase and related hemolysins (HppD)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG3185	GC_00002821, GC_00006517	1	0.8182	20	11
tRNA A37 threonylcarbamoyltransferase TsaD (TsaD) (PDB:3ENO) (PUBMED:23072323;21285948;32385138)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0533	GC_00002944	1	0.8182	20	11
Ribosomal protein S11 (RpsK) (PDB:4V4H)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0100	GC_00002762	1	0.8182	20	11
Phenylalanine-4-hydroxylase (PhhA) (PDB:1PHZ)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG3186	GC_00002866	1	0.8182	20	11
Preprotein translocase subunit SecD (SecD) (PDB:3AQP) (PUBMED:26100040)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0342	GC_00002817	1	0.8182	20	11
Thymidylate synthase (ThyA) (PDB:1AN5)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0207	GC_00002852	1	0.8182	20	11
Na+/H+-dicarboxylate symporter (GltP) (PDB:1XFH)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG1301	GC_00002009, GC_00003585	1	0.8182	20	11
Glutamate 5-kinase (ProB) (PDB:2W21)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0263	GC_00002831	1	0.8182	20	11
UDP-3-O-acyl-N-acetylglucosamine deacetylase (LpxC) (PDB:1P42)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0774	GC_00002842	1	0.8182	20	11
Cu/Zn superoxide dismutase (SodC) (PDB:1ESO)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG2032	GC_00002789	1	0.8182	20	11
Signal transduction histidine kinase (BaeS) (PDB:1JOY)!!!CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)!!!Methylase of chemotaxis methyl-accepting proteins (CheR) (PDB:1AF7)!!!Chemotaxis response regulator CheB, contains REC and protein-glutamate methylesterase domains (CheB) (PDB:1A2O)!!!PAS domain (PAS) (PDB:2MWG)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0642!!!COG0784!!!COG1352!!!COG2201!!!COG2202	GC_00002074	1	0.8182	20	11
FoF1-type ATP synthase, gamma subunit (AtpG) (PDB:3OAA) (PUBMED:15326535)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0224	GC_00002808	1	0.8182	20	11
Predicted histidine transporter YuiF, NhaC family (YuiF) (PUBMED:15135544)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG2056	GC_00002848	1	0.8182	20	11
ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG)!!!GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0834!!!COG2199	GC_00002945	1	0.8182	20	11
Folylpolyglutamate synthase/Dihydropteroate synthase (FolC) (PDB:1W78)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0285	GC_00002973	1	0.8182	20	11
DNA repair ATPase RecN (RecN) (PDB:4AD8)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0497	GC_00002966	1	0.8182	20	11
Threonine synthase (ThrC) (PDB:1VB3)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0498	GC_00002288	1	0.8182	20	11
Cytochrome b561 (CybB) (PDB:5OC0)!!!Uncharacterized conserved protein, DUF2218 domain (PDB:2JPI)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG3038!!!COG3553	GC_00002983	1	0.8182	20	11
Septum formation topological specificity factor MinE (MinE) (PDB:1EV0)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0851	GC_00002792	1	0.8182	20	11
Ribosomal protein S5 (RpsE) (PDB:4V4H)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0098	GC_00002765	1	0.8182	20	11
Uncharacterized conserved protein, DUF1513 domain	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG3490	GC_00002905	1	0.8182	20	11
Ribosomal protein S13 (RpsM) (PDB:4V4H)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0099	GC_00002752	1	0.8182	20	11
Glutamate or tyrosine decarboxylase or a related PLP-dependent protein (GadA) (PDB:1XEY)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0076	GC_00002935	1	0.8182	20	11
Anion-transporting ATPase, ArsA/GET3 family (ArsA) (PDB:1F48)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0003	GC_00002992, GC_00004895, GC_00005063	1	0.8182	20	11
Glutamate synthase domain 1 (GltB1) (PDB:1EA0)!!!Glutamate synthase domain 2 (GltB2) (PDB:1EA0)!!!Glutamate synthase domain 3 (GltB3) (PDB:1EA0)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0067!!!COG0069!!!COG0070	GC_00002982	1	0.8182	20	11
Nucleoside-specific outer membrane channel protein Tsx (Tsx) (PDB:1TLW)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG3248	GC_00000006	1	0.8182	20	11
Ribosomal protein L15 (RplO) (PDB:1VS6)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0200	GC_00002749	1	0.8182	20	11
Ribosomal protein L14 (RplN) (PDB:4V4H)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG0093	GC_00002753	1	0.8182	20	11
DNA-nicking endonuclease, Smr domain (SmrA) (PDB:3QD7) (PUBMED:12730195)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG2840	GC_00002967	1	0.8182	20	11
Transcription-repair coupling factor (superfamily II helicase) (Mfd) (PDB:2EYQ)	3.887169107811107	0.048656372324094574	0.2449699398439632	Reference	COG1197	GC_00002971	1	0.8182	20	11
