COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Reference	p_Chennai	N_Reference	N_Chennai
Phage terminase-like protein, large subunit, contains N-terminal HTH domain (YmfN)	6.290969927797185	0.012135462425009687	0.05263953831108097	Reference	COG4626	GC_00002280, GC_00002289	0.2821	0	39	18
DNA primase, phage- or plasmid-associated	6.290969927797185	0.012135462425009687	0.05263953831108097	Reference	COG3378	GC_00002268	0.2821	0	39	18
DNA polymerase I, 3'-5' exonuclease and polymerase domains (PolA) (PDB:1D8Y)	6.290969927797185	0.012135462425009687	0.05263953831108097	Reference	COG0749	GC_00002271, GC_00002298	0.2821	0	39	18
DNA repair exonuclease SbcCD ATPase subunit (SbcC) (PDB:3QKR)	6.290969927797185	0.012135462425009687	0.05263953831108097	Reference	COG0419	GC_00002274	0.2821	0	39	18
Peptidoglycan-binding (PGRP) domain of peptidoglycan hydrolases (PGRP) (PDB:4FET)	6.290969927797185	0.012135462425009687	0.05263953831108097	Reference	COG3409	GC_00002310	0.2821	0	39	18
Prophage antirepressor!!!Phage antirepressor protein YoqD, KilAC domain (KilAC)	6.290969927797185	0.012135462425009687	0.05263953831108097	Reference	COG3617!!!COG3645	GC_00002285	0.2821	0	39	18
Abortive infection bacteriophage resistance protein (AbiF)	6.290969927797185	0.012135462425009687	0.05263953831108097	Reference	COG4823	GC_00002296	0.2821	0	39	18
DNA-binding transcriptional regulator, XRE family (YozG) (PDB:3TYR)	6.290969927797185	0.012135462425009687	0.05263953831108097	Reference	COG3655	GC_00002286	0.2821	0	39	18
RecB family exonuclease (Slr0479)	6.290969927797185	0.012135462425009687	0.05263953831108097	Reference	COG2887	GC_00002299	0.2821	0	39	18
Glucose-6-phosphate isomerase (Pgi) (PDB:1B0Z)	5.9473399501268	0.014739511675442846	0.06372811520515094	Reference	COG0166	GC_00001905	0.9744	0.7778	39	18
Microcystin degradation protein MlrC, contains DUF1485 domain (PDB:3IUU)	5.597381368308797	0.017987343405314323	0.07604775566297448	Reference	COG5476	GC_00002316	0.2564	0	39	18
DNA-binding transcriptional regulator, MarR family (MarR) (PDB:1JGS)!!!Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain (NagC) (PDB:1WOQ)	5.597381368308797	0.017987343405314323	0.07604775566297448	Reference	COG1846!!!COG1940	GC_00002347	0.2564	0	39	18
Predicted TIM-barrel enzyme (PDB:2P10)	5.597381368308797	0.017987343405314323	0.07604775566297448	Reference	COG5564	GC_00002338, GC_00002351	0.2564	0	39	18
Beta-glucanase, GH16 family (BglS) (PDB:1AJK)	5.597381368308797	0.017987343405314323	0.07604775566297448	Reference	COG2273	GC_00002345	0.2564	0	39	18
Predicted ATP-dependent endonuclease of the OLD family, contains P-loop ATPase and TOPRIM domains (YbjD)	5.597381368308797	0.017987343405314323	0.07604775566297448	Reference	COG3593	GC_00002346	0.2564	0	39	18
Alpha-galactosidase (GalA) (PDB:2XN0)	5.597381368308797	0.017987343405314323	0.07604775566297448	Reference	COG3345	GC_00002355	0.2564	0	39	18
Ribosomal protein S12 methylthiotransferase accessory factor YcaO (YcaO) (PDB:4BS9)	5.597381368308797	0.017987343405314323	0.07604775566297448	Reference	COG1944	GC_00002354	0.2564	0	39	18
D-threonate/D-erythronate kinase OtnK and related C4-acid sugar kinases, YgbK/DUF1537 family (OtnK) (PDB:1YZY) (PUBMED:27402745)	5.100812077050504	0.02391464482646043	0.09233399238317616	Reference	COG3395	GC_00002222	0.4103	0.1111	39	18
Chromosomal replication initiation ATPase DnaA (DnaA) (PDB:1L8Q)	5.100812077050502	0.02391464482646041	0.09233399238317616	Chennai	COG0593	GC_00002158	0.5897	0.8889	39	18
Phosphopantetheinyl transferase (Sfp) (PDB:1QR0)	4.533906386472905	0.03322968280508347	0.09233399238317616	Reference	COG2091	GC_00002085	0.8974	0.6667	39	18
NaMN:DMB phosphoribosyltransferase (CobT) (PDB:1D0S)!!!Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase (CobU) (PDB:1C9K)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG2038!!!COG2087	GC_00001327	1	0.8889	39	18
Type 1 glutamine amidotransferase (GATase1)-like domain	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG3828	GC_00001295, GC_00002244	1	0.8889	39	18
Mannose-1-phosphate guanylyltransferase (CpsB) (PDB:2QH5)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0836	GC_00001444	1	0.8889	39	18
NADPH-dependent glutamate synthase beta chain or related oxidoreductase (GltD) (PDB:1H7X)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0493	GC_00001432	1	0.8889	39	18
Exonuclease VII, large subunit (XseA)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1570	GC_00001285	1	0.8889	39	18
Tetrahydrodipicolinate N-succinyltransferase (DapD) (PDB:3BXY)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG2171	GC_00001270	1	0.8889	39	18
NADPH-dependent curcumin reductase CurA (CurA) (PDB:1V3T) (PUBMED:21467222)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG2130	GC_00001244	1	0.8889	39	18
DNA-binding transcriptional regulator, IclR family (IclR) (PDB:1MKM)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1414	GC_00001321, GC_00001511	1	0.8889	39	18
Nitrate reductase assembly protein NarJ, required for insertion of molybdenum cofactor (NarJ)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG2180	GC_00001290	1	0.8889	39	18
Ketopantoate reductase (PanE) (PDB:1BG6)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1893	GC_00001137	1	0.8889	39	18
Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type) (PtsN) (PDB:2OQ3)!!!Phosphotransferase system, galactitol-specific IIB component (SgaB) (PDB:5GQS)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1762!!!COG3414	GC_00001346	1	0.8889	39	18
DNA polymerase III, alpha subunit (DnaE) (PDB:2HNH)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0587	GC_00001670, GC_00002119	1	0.8889	39	18
Transcription regulator of the Arc/MetJ class (VapB6) (PDB:6A7V)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG5450	GC_00001183	1	0.8889	39	18
Spermidine synthase (polyamine aminopropyltransferase) (SpeE) (PDB:6BQ2)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0421	GC_00001225	1	0.8889	39	18
Preprotein translocase subunit SecY (SecY) (PDB:1RH5)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0201	GC_00001179	1	0.8889	39	18
DMSO reductase anchor subunit DmsC (DmsC)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG3302	GC_00001377	1	0.8889	39	18
Phosphotransferase system, fructose-specific IIC component (FrwC)!!!Phosphotransferase system fructose-specific component IIB (FrwB) (PDB:5DLE)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1299!!!COG1445	GC_00001185	1	0.8889	39	18
HrpA-like RNA helicase (HrpA) (PDB:5N8R)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1643	GC_00001671, GC_00001840	1	0.8889	39	18
Predicted trehalose synthase (Ble)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG3281	GC_00001468	1	0.8889	39	18
NADH:ubiquinone oxidoreductase subunit 2 (chain N) (NuoN) (PDB:4HE8)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1007	GC_00001446	1	0.8889	39	18
Threonyl-tRNA synthetase (ThrS) (PDB:1NYQ)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0441	GC_00001258	1	0.8889	39	18
Crotonobetainyl-CoA:carnitine CoA-transferase CaiB and related acyl-CoA transferases (CaiB) (PDB:1P5H)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1804	GC_00001232	1	0.8889	39	18
Carbamate kinase (ArcC) (PDB:2E9Y)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0549	GC_00001284	1	0.8889	39	18
Lipoate synthase (LipA) (PDB:4U0O) (PUBMED:27941785)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0320	GC_00001437	1	0.8889	39	18
Xanthine/guanine/uracil/vitamin C permease GhxP/GhxQ, nucleobase:cation symporter 2 ( NCS2) family (NCS2) (PUBMED:24169576;24214977)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG2252	GC_00001194	1	0.8889	39	18
Co/Zn/Cd efflux system component (CzcD)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1230	GC_00001281, GC_00002693	1	0.8889	39	18
Predicted N-acyltransferase, GNAT family (ElaA) (PDB:1XEB)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG2153	GC_00001308	1	0.8889	39	18
Endonuclease NucS, RecB family (NucS) (PDB:2VLD)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1637	GC_00001184	1	0.8889	39	18
Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase) (PurK) (PDB:1B6R)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0026	GC_00001447	1	0.8889	39	18
Glutamate synthase domain 1 (GltB1) (PDB:1EA0)!!!Glutamate synthase domain 2 (GltB2) (PDB:1EA0)!!!Glutamate synthase domain 3 (GltB3) (PDB:1EA0)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0067!!!COG0069!!!COG0070	GC_00001485	1	0.8889	39	18
8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family (MutT) (PDB:4V14)!!!Phosphohistidine phosphatase SixA (SixA) (PDB:1UJB)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0494!!!COG2062	GC_00001198	1	0.8889	39	18
tmRNA-binding protein (SmpB) (PDB:1J1H) (PUBMED:26251518)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0691	GC_00001313	1	0.8889	39	18
Alkyl hydroperoxide reductase subunit AhpF (AhpF) (PDB:4YKG)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG3634	GC_00001466	1	0.8889	39	18
Phosphotransferase system sorbitol-specific IIB component (SrlE)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG3732	GC_00000996	1	0.8889	39	18
Ribosomal protein S16 (RpsP) (PDB:4V4H)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0228	GC_00001212	1	0.8889	39	18
Uncharacterized membrane protein YckC, RDD family (YckC)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1714	GC_00001005	1	0.8889	39	18
FoF1-type ATP synthase, membrane subunit a (AtpB) (PUBMED:22931285)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0356	GC_00001124	1	0.8889	39	18
Protein translocase subunit SecG (SecG) (PDB:2AKH)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1314	GC_00001287	1	0.8889	39	18
dUTP pyrophosphatase (dUTPase) (Dut) (PDB:1DUC)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0756	GC_00001405	1	0.8889	39	18
Membrane-associated protease RseP, regulator of RpoE activity (RseP)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0750	GC_00001460	1	0.8889	39	18
Nitrate reductase alpha subunit (NarG) (PDB:1Q16)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG5013	GC_00001392	1	0.8889	39	18
Ketol-acid reductoisomerase (IlvC) (PDB:1NP3)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0059	GC_00001214	1	0.8889	39	18
Uncharacterized membrane protein YeiB (YeiB)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG2311	GC_00001382	1	0.8889	39	18
Superfamily II RNA helicase (Dob10) (PDB:4A4Z)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG4581	GC_00001418, GC_00001921	1	0.8889	39	18
D-mannonate dehydratase (UxuA) (PDB:1TZ9)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1312	GC_00001296	1	0.8889	39	18
Ribosomal protein L1 (RplA) (PDB:3J65)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0081	GC_00001279	1	0.8889	39	18
Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit (PorA) (PDB:5C4I)!!!Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit (PorG) (PDB:1B0P)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0674!!!COG1014	GC_00001363	1	0.8889	39	18
5-oxoprolinase subunit A (PxpA) (PDB:1V6T) (PUBMED:28830929)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1540	GC_00001462	1	0.8889	39	18
1-phosphofructokinase or 6-phosphofructokinase II (FruK) (PDB:2ABQ)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1105	GC_00001472	1	0.8889	39	18
Ribosomal protein L13 (RplM) (PDB:1VS6)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0102	GC_00001353	1	0.8889	39	18
Siroheme synthase (precorrin-2 oxidase/ferrochelatase domain) (CysG2) (PDB:1PJQ)!!!Sirohydrochlorin ferrochelatase (SirB) (PDB:1TJN)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1648!!!COG2138	GC_00001445	1	0.8889	39	18
Methylmalonyl-CoA mutase, N-terminal domain/subunit (Sbm) (PDB:6OXC)!!!Methylmalonyl-CoA mutase, C-terminal domain/subunit (cobalamin-binding) (Sbm) (PDB:1B1A)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1884!!!COG2185	GC_00001370	1	0.8889	39	18
Serine acetyltransferase (CysE) (PDB:1T3D)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1045	GC_00001331	1	0.8889	39	18
Xaa-Pro aminopeptidase (PepP) (PDB:1A16)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0006	GC_00001292	1	0.8889	39	18
Phosphoglycerate dehydrogenase or related dehydrogenase (SerA) (PDB:3OET)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0111	GC_00001461, GC_00002245, GC_00002487, GC_00002799	1	0.8889	39	18
Pyridoxal 5'-phosphate synthase subunit PdxT (glutamine amidotransferase) (PdxT) (PDB:2NV0) (PUBMED:18801996;24083939)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0311	GC_00001227	1	0.8889	39	18
Uncharacterized conserved protein, DUF501 family	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1507	GC_00001241	1	0.8889	39	18
Translation elongation factor EF-Tu, a GTPase (TufA) (PDB:1EFU)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0050	GC_00001173	1	0.8889	39	18
Transcription elongation factor, GreA/GreB family (GreA) (PDB:1GRJ)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0782	GC_00001202	1	0.8889	39	18
Ribosomal protein S11 (RpsK) (PDB:4V4H)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0100	GC_00001174	1	0.8889	39	18
Malic enzyme (SfcA) (PDB:1DO8)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0281	GC_00001291, GC_00001841	1	0.8889	39	18
Glycerol kinase (GlpK) (PDB:2ZF5)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0554	GC_00001451	1	0.8889	39	18
Protein chain release factor RF1 (PrfA) (PDB:1RQ0)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0216	GC_00001322	1	0.8889	39	18
Alpha-glucosidase/xylosidase, GH31 family (YicI) (PDB:1WE5) (PUBMED:15294295)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1501	GC_00000070, GC_00002255	1	0.8889	39	18
Protein-tyrosine-phosphatase (Wzb) (PDB:4D74) (PUBMED:26641313)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0394	GC_00001307, GC_00002609	1	0.8889	39	18
Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type) (PtsN) (PDB:2OQ3)!!!Transcriptional antiterminator (BglG) (PDB:1AUU)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1762!!!COG3711	GC_00000051, GC_00000120	1	0.8889	39	18
dGTP triphosphohydrolase (Dgt) (PDB:6OI7)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0232	GC_00001433	1	0.8889	39	18
NAD/NADP transhydrogenase alpha subunit (PntA) (PDB:1F8G)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG3288	GC_00001362	1	0.8889	39	18
Glycosyltransferase involved in cell wall bisynthesis (WcaA) (PDB:5MLZ)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0463	GC_00001203	1	0.8889	39	18
Phosphoserine aminotransferase (SerC) (PDB:1BJN)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1932	GC_00001216	1	0.8889	39	18
DNA-binding transcriptional regulator of glucitol operon (GutM)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG4578	GC_00001224	1	0.8889	39	18
BadF-type ATPase, related to human N-acetylglucosamine kinase (BadF) (PUBMED:17954692;12761179;12761179)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG2971	GC_00001800, GC_00002034	1	0.8889	39	18
Leu/Phe-tRNA-protein transferase (Aat) (PDB:2CXA)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG2360	GC_00001339	1	0.8889	39	18
Heme/copper-type cytochrome/quinol oxidase, subunit 3 (CyoC) (PDB:1QLE)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1845	GC_00000969	1	0.8889	39	18
Tryptophanase (TnaA) (PDB:1AX4)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG3033	GC_00000922	1	0.8889	39	18
Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain (GcvP1) (PDB:4LGL)!!!Glycine cleavage system protein P (pyridoxal-binding), C-terminal domain (GcvP2) (PDB:4LGL)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0403!!!COG1003	GC_00001473	1	0.8889	39	18
Catalase (KatE) (PDB:6RJR)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0753	GC_00001393	1	0.8889	39	18
FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor) (Tig) (PDB:5OWI)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0544	GC_00001420	1	0.8889	39	18
GMP synthase, glutamine amidotransferase domain (GuaA1) (PDB:4WIM)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0518	GC_00001255	1	0.8889	39	18
Pyruvate dehydrogenase complex, dehydrogenase (E1) component (AceE) (PDB:1L8A)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG2609	GC_00001431	1	0.8889	39	18
Predicted Mg-chelatase, contains ChlI-like and ATPase domains, YifB family (YifB)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0606	GC_00001157	1	0.8889	39	18
Holliday junction resolvasome RuvABC endonuclease subunit RuvC (RuvC) (PDB:1HJR)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0817	GC_00001342	1	0.8889	39	18
NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase domain (Nnr1) (PDB:3RRB)!!!NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain (Nnr2) (PDB:1KYH)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0062!!!COG0063	GC_00001367	1	0.8889	39	18
Carbamoylphosphate synthase large subunit (CarB) (PDB:1C30)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0458	GC_00001480	1	0.8889	39	18
Large-conductance mechanosensitive channel (MscL) (PDB:2OAR)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1970	GC_00001298	1	0.8889	39	18
Biotin synthase or related enzyme (BioB) (PDB:1R30)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0502	GC_00000961	1	0.8889	39	18
NADH pyrophosphatase NudC, Nudix superfamily (NPY1)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG2816	GC_00000172	1	0.8889	39	18
Argininosuccinate synthase (ArgG) (PDB:1J1Z)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0137	GC_00001357	1	0.8889	39	18
Queuine/archaeosine tRNA-ribosyltransferase (Tgt) (PDB:1XW8) (PUBMED:15805528)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0343	GC_00001386	1	0.8889	39	18
Radical SAM superfamily maturase, SkfB/NifB/PqqE family (SkfB) (PDB:6Q2P) (PUBMED:23282011)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0535	GC_00001463	1	0.8889	39	18
Ribosomal protein L7/L12 (RplL) (PDB:1CTF)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0222	GC_00001178	1	0.8889	39	18
Putative flippase GtrA (transmembrane translocase of bactoprenol-linked glucose) (GtrA) (PDB:5MLZ) (PUBMED:24710389)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG2246	GC_00001238, GC_00003203	1	0.8889	39	18
Truncated hemoglobin YjbI (YjbI) (PDB:1DLW)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG2346	GC_00001300	1	0.8889	39	18
Na+/proline symporter (PutP) (PDB:5NVA)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0591	GC_00001294	1	0.8889	39	18
Cytochrome c, mono- and diheme variants (CccA) (PDB:1A2S)!!!Cytochrome c553 (CytC553) (PDB:6Q2U)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG2010!!!COG2863	GC_00001080	1	0.8889	39	18
Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase) (SsuD) (PDB:1BRL)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG2141	GC_00001434	1	0.8889	39	18
Alpha-mannosidase (MngB) (PDB:5KBP) (PUBMED:14645248)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0383	GC_00001684, GC_00002016	1	0.8889	39	18
Aminopeptidase N, contains DUF3458 domain (PepN) (PDB:6ATK) (PUBMED:24123841)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0308	GC_00001611, GC_00001814	1	0.8889	39	18
Phenylalanyl-tRNA synthetase alpha subunit (PheS) (PDB:3L4G)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0016	GC_00001172	1	0.8889	39	18
ATP-dependent protease Clp, ATPase subunit ClpX (ClpX) (PDB:3HTE)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1219	GC_00001329	1	0.8889	39	18
Uncharacterized membrane protein, BrkB/YihY/UPF0761 family (not an RNase) (BrkB)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1295	GC_00001443	1	0.8889	39	18
Uncharacterized membrane protein, YccA/Bax inhibitor family	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG4760	GC_00001328	1	0.8889	39	18
Cell division ATPase FtsE (FtsE)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG2884	GC_00001395	1	0.8889	39	18
UDP-glucose 6-dehydrogenase (Ugd) (PDB:1DLI)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1004	GC_00001278	1	0.8889	39	18
Uncharacterized conserved protein YjbJ, UPF0337 family (yjbJ) (PDB:1RYK)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG3237	GC_00001275	1	0.8889	39	18
L-lactate permease (LldP)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1620	GC_00001481	1	0.8889	39	18
DNA repair ATPase RecN (RecN) (PDB:4AD8)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0497	GC_00001365	1	0.8889	39	18
Pyridoxal 5'-phosphate homeostasis protein YggS, UPF0001 family (YggS) (PDB:3SY1) (PUBMED:26872910)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0325	GC_00001209	1	0.8889	39	18
Aspartate/methionine/tyrosine aminotransferase (AspB) (PDB:2O0R)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0436	GC_00001325	1	0.8889	39	18
Phosphate starvation-inducible protein PhoH, predicted ATPase (PhoH) (PDB:3B85) (PUBMED:8444794;12762842)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1702	GC_00001415	1	0.8889	39	18
DNA helicase IV (HelD)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG3973	GC_00001057	1	0.8889	39	18
Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase (ThiD) (PDB:1Y9X) (PUBMED:17351295)!!!Aminopyrimidine aminohydrolase TenA (thiamine salvage pathway) (TenA) (PDB:2QCX) (PUBMED:17618314)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0351!!!COG0819	GC_00001153	1	0.8889	39	18
Signal recognition particle GTPase FtsY (FtsY) (PDB:4AK9)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0552	GC_00001262	1	0.8889	39	18
Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria) (PtsA) (PDB:1EZA)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1080	GC_00001373	1	0.8889	39	18
Predicted nuclease of the RNAse H fold, HicB family (HicB)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG4226	GC_00001197	1	0.8889	39	18
Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A) (Efp) (PDB:1UEB)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0231	GC_00001222	1	0.8889	39	18
3,4-dihydroxy-2-butanone 4-phosphate synthase (RibB) (PDB:1G57)!!!GTP cyclohydrolase II (RibA) (PDB:2BZ0)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0108!!!COG0807	GC_00001264	1	0.8889	39	18
1,4-dihydroxy-2-naphthoate polyprenyltransferase (MenA)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1575	GC_00001280	1	0.8889	39	18
Succinyl-CoA synthetase, beta subunit (SucC) (PDB:1SCU)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0045	GC_00001013	1	0.8889	39	18
Peptidyl-tRNA hydrolase (Pth2) (PDB:1Q7S)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1990	GC_00001310	1	0.8889	39	18
mRNA degradation ribonuclease J1/J2 (RnjA) (PDB:3T3N)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG0595	GC_00001304	1	0.8889	39	18
Pullulanase/glycogen debranching enzyme (PulA) (PDB:2WSK)	4.491069818200931	0.034072348985707934	0.09233399238317616	Reference	COG1523	GC_00001478	1	0.8889	39	18
